Año;Institucion licitante;Procedimientos iniciados;Procedimientos licitados;Monto adjudicado en colones;Porcentaje
2018;CAJA COSTARRICENSE DE SEGURO SOCIAL (CCSS);3571;3234;"260575612095	";21.27
2018;REFINADORA COSTARRICENSE DE PETROLEO SOCIEDAD ANONIMA (RECOPE);338;256;68123152197;5.56
2018;INSTITUTO COSTARRICENSE DE ACUEDUCTOS Y ALCANTARILLADOS (AYA);1903;1787;52876517673;4.32
2018;MUNICIPALIDAD DE CARRILLO GUANACASTE;23;21;50317787996;4.11
2018;INSTITUTO COSTARRICENSE DE ELECTRICIDAD;802;621;36814105037;3
2018;INSTITUTO NACIONAL DE SEGUROS (INS);2211;2101;31828751815;2.6
2018;BANCO DE COSTA RICA;725;639;28234254969;2.3
2018;BANCO NACIONAL DE COSTA RICA;438;375;27256030717;2.22
2018;INSTITUTO NACIONAL DE APRENDIZAJE (INA);1743;1432;26235350794;2.14
2018;HOSPITAL NACIONAL DE NIÑOS;617;559;24937999231;2.04
2018;UNIVERSIDAD DE COSTA RICA;997;874;23788490415;1.94
2018;COMPAÑIA NACIONAL DE FUERZA Y LUZ;1870;1781;23531710117;1.92
2018;EMPRESA DE SERVICIOS PUBLICOS DE HEREDIA SOCIEDAD ANONIMA;1670;1659;20612628835;1.68
2018;INSTITUTO COSTARRICENSE DE FERROCARRILES;191;181;18280959178;1.49
2018;CORTE SUPREMA DE JUSTICIA PODER JUDICIAL;2820;2381;17136646614;1.4
2018;UNIVERSIDAD NACIONAL (UNA);391;354;15909928038;1.3
2018;CONSEJO NACIONAL DE VIALIDAD;90;94;15761523512;1.29
2018;FUNDACION OMAR DENGO;53;44;13143790376;1.07
2018;HOSPITAL SAN JUAN DE DIOS;564;496;13111307705;1.07
2018;MUNICIPALIDAD DE SAN JOSE;1981;1597;12308750807;1
2018;MINISTERIO DE JUSTICIA Y PAZ;230;200;12282871094;1
2018;DIRECCION GENERAL DE AVIACION CIVIL;274;218;12178858797;0.99
2018;MUNICIPALIDAD DE SAN CARLOS;464;439;11010899786;0.9
2018;INSTITUTO DE DESARROLLO RURAL (INDER);309;267;10584532046;0.86
2018;MUNICIPALIDAD DE DESAMPARADOS;718;639;10335283821;0.84
2018;HOSPITAL SAN RAFAEL DE ALAJUELA;172;153;10002937110;0.82
2018;MUNICIPALIDAD DE CARTAGO;1236;1120;9986579233;0.82
2018;INSTITUTO TECNOLOGICO DE COSTA RICA (ITCR);576;536;9069679791;0.74
2018;MUNICIPALIDAD DE ALAJUELA;400;353;8136998582;0.66
2018;BANCO CENTRAL DE COSTA RICA;830;755;8027251302;0.66
2018;MUNICIPALIDAD DE POCOCI;380;349;7297927564;0.6
2018;INSTITUTO COSTARRICENSE DE TURISMO (ICT);326;281;7096734127;0.58
2018;HOSPITAL MEXICO;293;236;6936704255;0.57
2018;CONSEJO DE SEGURIDAD VIAL;259;212;6933185887;0.57
2018;JUNTA ADMINISTRATIVA PORTUARIA Y DE DESARROLLO ECONOMICO DE LA VERTIEN;746;700;6591929616;0.54
2018;DIRECCION NACIONAL DE CENTROS DE EDUCACION Y NUTRICION Y DE CENTROS DE;95;74;6089047689;0.5
2018;BANCO POPULAR Y DE DESARROLLO COMUNAL;153;126;6079664899;0.5
2018;SISTEMA NACIONAL DE AREAS DE CONSERVACION;129;128;5845466584;0.48
2018;FABRICA NACIONAL DE LICORES (FANAL);213;190;5562038899;0.45
2018;RADIOGRAFICA COSTARRICENSE S. A;214;188;5181169643;0.42
2018;BENEMERITO CUERPO DE BOMBEROS DE COSTA RICA;104;83;4973839999;0.41
2018;COMISION NACIONAL DE PREVENCION DE RIESGOS Y ATENCION DE EMERGENCIAS;671;444;4971289233;0.41
2018;MUNICIPALIDAD DE PEREZ ZELEDON;456;464;4898295364;0.4
2018;HOSPITAL DOCTOR CALDERON GUARDIA;274;250;4838245782;0.39
2018;INSTITUTO SOBRE ALCOHOLISMO Y FARMACODEPENDENCIA;217;174;4507024607;0.37
2018;PATRONATO NACIONAL DE LA INFANCIA (PANI);340;272;4382818042;0.36
2018;MINISTERIO DE EDUCACION PUBLICA;211;169;4110995270;0.34
2018;MUNICIPALIDAD DE TURRIALBA;357;307;4028999036;0.33
2018;INSTITUTO COSTARRICENSE DE PUERTOS DEL PACIFICO;480;438;4026681648;0.33
2018;TRIBUNAL SUPREMO DE ELECCIONES;467;397;3803550627;0.31
2018;MUNICIPALIDAD DE CURRIDABAT;659;619;3675110281;0.3
2018;MINISTERIO DE SEGURIDAD PUBLICA;390;317;3590960590;0.29
2018;BN-VITAL OPERADORA DE PENSIONES COMPLEMENTARIAS S.A.;92;79;3487408300;0.28
2018;JUNTA DE PROTECCION SOCIAL DE SAN JOSE;225;188;3473507327;0.28
2018;MUNICIPALIDAD DE SANTA ANA;277;257;3451099897;0.28
